,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
18299,109,5,3,6,50,2,05中正區,中正區思源街自來水園區前,0,0,2,1,C03,7,1,5,50,11,9,1,5,4,5,7,4,4,3,4,5,2,12,2,29.0,2.0,9.0,1.0,1.0,7.0,15.0,1.0,10.0,2.0,12.0,23.0,23,1.0,22.0,9.0,121.5313754,25.0142479
18300,109,5,3,6,50,2,05中正區,中正區思源街自來水園區前,0,0,2,2,C03,7,1,5,50,11,9,1,5,4,5,7,4,4,3,4,5,2,12,2,59.0,2.0,9.0,1.0,1.0,7.0,15.0,4.0,11.0,2.0,14.0,44.0,23,1.0,22.0,9.0,121.5313754,25.0142479
18301,109,5,3,6,50,2,05中正區,中正區思源街自來水園區前,0,0,2,3,B03,7,1,5,50,11,9,1,5,4,5,7,4,4,3,4,5,2,12,1,36.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,2.0,44.0,23,1.0,22.0,9.0,121.5313754,25.0142479
18302,109,5,3,6,50,2,05中正區,中正區思源街自來水園區前,0,0,2,4,H02,7,1,5,50,11,9,1,5,4,5,7,4,4,3,4,5,2,12,2,28.0,4.0,11.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,23,1.0,22.0,9.0,121.5313754,25.0142479
18303,109,5,3,7,5,2,05中正區,中正區杭州南路1段143巷與信義路2段79巷口,0,0,1,1,B03,8,1,5,30,4,1,1,5,4,4,6,4,4,10,5,5,1,16,1,43.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,2.0,6.0,6,1.0,22.0,9.0,121.5269636,25.03561886
18304,109,5,3,7,5,2,05中正區,中正區杭州南路1段143巷與信義路2段79巷口,0,0,1,2,C03,8,1,5,30,4,1,1,5,4,4,6,4,4,10,5,5,1,16,2,42.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,6,1.0,22.0,9.0,121.5269636,25.03561886
18307,109,5,3,7,52,2,05中正區,中正區市民大道1段168號,0,0,1,1,B01,8,1,5,40,15,9,1,5,4,5,7,4,4,1,4,5,1,16,1,61.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,4.0,2.0,4.0,19.0,19,1.0,22.0,9.0,121.5185732,25.04827676
18308,109,5,3,7,52,2,05中正區,中正區市民大道1段168號,0,0,1,2,C03,8,1,5,40,15,9,1,5,4,5,7,4,4,1,4,5,1,16,1,39.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,13.0,19,1.0,22.0,9.0,121.5185732,25.04827676
18329,109,5,3,12,20,2,05中正區,中正區林森南路與青島東路口,0,0,2,1,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,4,2,17,1,18.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,23.0,23,1.0,22.0,9.0,121.5230259,25.04361307
18330,109,5,3,12,20,2,05中正區,中正區林森南路與青島東路口,0,0,2,2,B03,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,4,2,17,1,54.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,5.0,44.0,23,1.0,22.0,9.0,121.5230259,25.04361307
18331,109,5,3,12,20,2,05中正區,中正區林森南路與青島東路口,0,0,2,3,B01,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,4,2,17,1,52.0,3.0,10.0,1.0,1.0,7.0,15.0,1.0,4.0,1.0,8.0,44.0,23,1.0,22.0,9.0,121.5230259,25.04361307
18332,109,5,3,12,20,2,05中正區,中正區林森南路與青島東路口,0,0,2,4,H02,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,4,2,17,1,18.0,2.0,9.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,23,1.0,22.0,9.0,121.5230259,25.04361307
18338,109,5,3,12,59,2,05中正區,中正區金山南路1段47號,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,2,1,10,4,5,2,17,1,37.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,8.0,1.0,6.0,7.0,7,1.0,22.0,9.0,121.5287952,25.03927942
18339,109,5,3,12,59,2,05中正區,中正區金山南路1段47號,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,2,1,10,4,5,2,17,1,34.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,7,1.0,22.0,9.0,121.5287952,25.03927942
18350,109,5,3,14,30,2,05中正區,中正區永福橋往北市,0,0,1,1,C03,7,1,5,50,8,9,1,5,4,5,7,4,4,5,5,5,2,17,1,31.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,23.0,23,1.0,22.0,9.0,121.5298392,25.01320786
18351,109,5,3,14,30,2,05中正區,中正區永福橋往北市,0,0,1,2,B03,7,1,5,50,8,9,1,5,4,5,7,4,4,5,5,5,2,17,1,31.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,3.0,44.0,23,1.0,22.0,9.0,121.5298392,25.01320786
18352,109,5,3,14,30,2,05中正區,中正區永福橋往北市,0,0,1,3,C03,7,1,5,50,8,9,1,5,4,5,7,4,4,5,5,5,2,17,2,59.0,3.0,10.0,1.0,1.0,7.0,15.0,1.0,10.0,1.0,15.0,44.0,23,1.0,22.0,9.0,121.5298392,25.01320786
18353,109,5,3,14,30,2,05中正區,中正區永福橋往北市,0,0,1,4,H02,7,1,5,50,8,9,1,5,4,5,7,4,4,5,5,5,2,17,2,29.0,3.0,10.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,23,1.0,22.0,9.0,121.5298392,25.01320786
18365,109,5,3,15,55,2,05中正區,中正區羅斯福路3段與辛亥路1段口,0,0,1,1,A04,8,1,5,40,4,2,1,5,4,5,7,1,1,2,4,5,2,9,1,57.0,3.0,10.0,1.0,1.0,7.0,14.0,1.0,2.0,2.0,6.0,42.0,42,1.0,22.0,9.0,121.5293015,25.01958268
18366,109,5,3,15,55,2,05中正區,中正區羅斯福路3段與辛亥路1段口,0,0,1,2,H02,8,1,5,40,4,2,1,5,4,5,7,1,1,2,4,5,2,9,2,42.0,2.0,8.0,4.0,5.0,7.0,17.0,8.0,20.0,10.0,16.0,67.0,42,1.0,22.0,9.0,121.5293015,25.01958268
18381,109,5,3,16,48,2,05中正區,中正區中山南路與凱達格蘭大道1段口,0,0,1,1,B03,8,1,5,50,5,4,1,5,4,5,7,1,1,10,4,1,1,13,2,41.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,8.0,1.0,1.0,43.0,43,1.0,22.0,9.0,121.5173289,25.03879191
18382,109,5,3,16,48,2,05中正區,中正區中山南路與凱達格蘭大道1段口,0,0,1,2,C03,8,1,5,50,5,4,1,5,4,5,7,1,1,10,4,1,1,13,2,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,13.0,43.0,43,1.0,22.0,9.0,121.5173289,25.03879191
18385,109,5,3,17,28,2,05中正區,中正區中山南路11號,0,0,2,1,C04,8,1,5,50,14,9,1,5,4,5,7,1,1,1,5,5,2,16,2,20.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,11.0,8.0,8,1.0,22.0,9.0,121.5177158,25.03869883
18386,109,5,3,17,28,2,05中正區,中正區中山南路11號,0,0,2,2,B03,8,1,5,50,14,9,1,5,4,5,7,1,1,1,5,5,2,16,2,62.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,2.0,44.0,8,1.0,22.0,9.0,121.5177158,25.03869883
18387,109,5,3,17,28,2,05中正區,中正區中山南路11號,0,0,2,3,H02,8,1,5,50,14,9,1,5,4,5,7,1,1,1,5,5,2,16,2,19.0,2.0,9.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,8,1.0,22.0,9.0,121.5177158,25.03869883
18400,109,5,3,20,8,2,05中正區,中正區汀州路3段160巷4號前,0,0,1,1,F01,8,3,5,30,14,9,1,5,4,5,7,4,4,10,5,5,1,9,1,16.0,3.0,10.0,4.0,5.0,7.0,9.0,8.0,20.0,11.0,16.0,23.0,23,1.0,22.0,9.0,121.5342816,25.01334748
18401,109,5,3,20,8,2,05中正區,中正區汀州路3段160巷4號前,0,0,1,2,H01,8,3,5,30,14,9,1,5,4,5,7,4,4,10,5,5,1,9,2,74.0,2.0,9.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,53.0,23,1.0,22.0,9.0,121.5342816,25.01334748
18436,109,5,4,7,59,2,05中正區,中正區中華路1段89號,0,0,1,1,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,12,1,57.0,2.0,1.0,1.0,1.0,7.0,6.0,6.0,18.0,2.0,12.0,6.0,6,1.0,22.0,9.0,121.5072842,25.0379501
18437,109,5,4,7,59,2,05中正區,中正區中華路1段89號,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,12,1,20.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,10.0,2.0,14.0,13.0,6,1.0,22.0,9.0,121.5072842,25.0379501
18443,109,5,4,8,40,2,05中正區,中正區和平西路1段與南昌路2段口,0,0,1,1,A02,8,1,5,50,5,1,1,5,4,5,7,2,1,1,3,4,1,17,1,49.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,5.0,23.0,23,1.0,22.0,9.0,121.5211936,25.02680563
18445,109,5,4,8,40,2,05中正區,中正區和平西路1段與南昌路2段口,0,0,1,2,C03,8,1,5,50,5,1,1,5,4,5,7,2,1,1,3,4,1,17,1,36.0,2.0,9.0,1.0,1.0,7.0,14.0,1.0,10.0,1.0,14.0,4.0,23,1.0,22.0,9.0,121.5211936,25.02680563
18501,109,5,4,15,30,2,05中正區,中正區重慶南路2段與寧波西街口,0,0,2,1,C03,8,1,5,50,4,1,1,5,4,5,7,2,1,3,4,5,2,12,2,37.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,10.0,1.0,12.0,9.0,9,1.0,22.0,9.0,121.5153648,25.02977434
18503,109,5,4,15,30,2,05中正區,中正區重慶南路2段與寧波西街口,0,0,2,2,C03,8,1,5,50,4,1,1,5,4,5,7,2,1,3,4,5,2,12,2,42.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,9,1.0,22.0,9.0,121.5153648,25.02977434
18505,109,5,4,15,30,2,05中正區,中正區重慶南路2段與寧波西街口,0,0,2,3,H02,8,1,5,50,4,1,1,5,4,5,7,2,1,3,4,5,2,12,1,7.0,2.0,6.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,9,1.0,22.0,9.0,121.5153648,25.02977434
18582,109,5,5,7,38,2,05中正區,中正區延平北路1段與忠孝西路1段口,0,0,1,1,A02,8,1,5,50,11,5,1,5,4,5,7,4,4,9,4,4,2,12,1,38.0,3.0,10.0,1.0,4.0,7.0,9.0,1.0,6.0,9.0,2.0,17.0,17,1.0,10.0,4.0,121.5116186,25.04780741
18584,109,5,5,7,38,2,05中正區,中正區延平北路1段與忠孝西路1段口,0,0,1,2,C03,8,1,5,50,11,5,1,5,4,5,7,4,4,9,4,4,2,12,1,20.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,17,1.0,22.0,1.0,121.5116186,25.04780741
